	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2Hep	HSC2Hep	LSEC2Hep	TotalSpec	Newinfluence
1	Ahctf1	0.376440728811418	99.8333899147486	0.0791577731768227	815	0.0791577731768227	1.61381480120401e-24	NA	NA	NA	0	0.25
2	Ahr	0.403940886699507	54.3292465246362	0.146357082375938	468	0.146357082375938	2.68524303040729e-125	NA	NA	NA	0	0.25
3	Alb	0.59271978021978	25.2303307774923	2.33707468172926	65.3333333333333	2.33707468172926	0	1	0	0	1	0.398179945054945
4	Ar	0.680705549240032	237.712518684224	0.0936559578879529	10969.3333333333	0.0936559578879529	1.48336381771697e-82	0	1	0	1	0.420176387310008
5	Arhgef12	0.141369047619048	0	0.156298134494393	1.33333333333333	0.156298134494393	0	NA	NA	NA	0	0.25
6	Arid2	0.203983516483516	13.1608105029651	0.137433714095693	11.3333333333333	0.137433714095693	4.32549562021593e-116	NA	NA	NA	0	0.25
7	Arid5b	0.973403751420993	334.926922560708	0.806910579721206	15895.3333333333	0.806910579721206	8.6558682153022e-92	1	1	1	3	0.980052813565745
8	Arnt	0.452469106563934	98.4441010943075	0.165833906666004	1300.66666666667	0.165833906666004	1.33487758768239e-11	NA	NA	NA	0	0.25
9	Arntl	0.15625	41.5676187188419	0.0317467761850459	232	0.0317467761850459	1.8647977372757e-185	NA	NA	NA	0	0.25
10	Atf1	0.513132341796135	77.7310303343574	0.138904176538015	479.333333333333	0.138904176538015	8.5007471815923e-104	NA	NA	NA	0	0.25
11	Atf2	0.197229853479853	25.3014182609441	0.0920984791826682	81.3333333333333	0.0920984791826682	5.35557495223297e-45	NA	NA	NA	0	0.25
12	Atf4	0.285834017515052	59.075970163469	0.0558626491244037	1182	0.0558626491244037	6.29744286090977e-37	0	1	0	1	0.321458504378763
13	Atf5	0.963735737442634	315.927050813529	0.690921524022209	14260.3333333333	0.690921524022209	0	1	1	1	3	0.972801803081976
14	Atf6	0.449585017472948	32.8852409730873	0.308803198654741	52.3333333333333	0.308803198654741	3.88969243608647e-87	NA	NA	NA	0	0.25
15	Atoh8	0.361253210391141	109.734673267168	0.062810265407993	1047.33333333333	0.062810265407993	1.48046129099575e-27	NA	NA	NA	0	0.25
16	Bach1	0.201149425287356	18.7267312991237	0.051819302674024	104.333333333333	0.051819302674024	8.07548273655807e-130	NA	NA	NA	0	0.25
17	Bach2	0.603582480737653	77.2349412796078	0.384632202037545	342	0.384632202037545	2.11453665153713e-31	1	0	0	1	0.400895620184413
18	Bbx	0.00148809523809524	0	0.0027596404250064	1.33333333333333	0.0027596404250064	1.6886229086501e-17	NA	NA	NA	0	0.25
19	Bcl3	0.152401477832512	16.4520328316728	0.0344908989040297	119.666666666667	0.0344908989040297	1.32246511081445e-51	NA	NA	NA	0	0.25
20	Bcl6	0.761835027998821	119.607009832028	0.41931667114253	1195.33333333333	0.41931667114253	3.54083357368813e-237	1	1	1	3	0.821376270999116
21	Bdp1	0.105654761904762	22.9836306660271	0.0332352414781006	47.3333333333333	0.0332352414781006	3.3991619661402e-274	NA	NA	NA	0	0.25
22	Bhlhe40	0.298029556650246	28.5318684542762	0.141467745914703	33	0.141467745914703	5.82070300108333e-145	NA	NA	NA	0	0.25
23	Bptf	0.0178571428571429	12.8378458112624	0.00363895824787937	11	0.00363895824787937	1.35818050901104e-18	NA	NA	NA	0	0.25
24	Brf1	0.147130647130647	59.2298810152727	0.0259263645235173	315.666666666667	0.0259263645235173	6.85119481129283e-108	NA	NA	NA	0	0.25
25	Cbx1	0.14176245210728	45.0862563596063	0.00603575317555593	1203.33333333333	0.00603575317555593	5.9434769720303e-18	NA	NA	NA	0	0.25
26	Cbx3	0.0938697318007663	37.4774226759236	2.49176185685799e-05	792.333333333333	2.49176185685799e-05	2.72032176702918e-07	NA	NA	NA	0	0.25
27	Cbx5	0.28125	110.532652974251	0.0602880380354957	3267	0.0602880380354957	0	1	0	0	1	0.3203125
28	Ccdc6	0.0163690476190476	13.4148008677314	0.00262526011662833	12.3333333333333	0.00262526011662833	4.12903716846097e-45	NA	NA	NA	0	0.25
29	Cebpa	0.831532093385542	401.859026111634	0.33372042158349	20712.3333333333	0.33372042158349	1.26404751598915e-54	0	1	1	2	0.665766046692771
