	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2HSC	LSEC2HSC	Hep2HSC	TotalSpec	Newinfluence
1	Ahctf1	0.218475877192982	66.7762352173897	0.0711104279488487	316.666666666667	0.0711104279488487	1.17883073743784e-06	NA	NA	NA	0	0.25
2	Alb	0.412646198830409	84.8849201915169	0.434730410605517	650.666666666667	0.434730410605517	0.000653702460385193	1	0	0	1	0.353161549707602
3	Arhgef12	0.306959219858156	37.9787064284254	0.329942112116453	120	0.329942112116453	1.37601098674158e-44	NA	NA	NA	0	0.25
4	Arid2	0.202022676371781	73.7196448342538	0.103815103876622	226.666666666667	0.150489770265994	0.0245712227337704	NA	NA	NA	0	0.25
5	Arid5b	0.366502192982456	55.0511864491171	0.372956720046968	202.333333333333	0.372956720046968	1.0206127266561e-130	NA	NA	NA	0	0.25
6	Arnt	0.264802631578947	59.0182792660423	0.144537724761071	448.666666666667	0.144537724761071	0.0137898470524323	NA	NA	NA	0	0.25
7	Arntl	0.287234042553191	91.5581323534683	0.0558854099373255	611	0.0558854099373255	0.0143558530886188	NA	NA	NA	0	0.25
8	Atf1	0.0116959064327485	19.7154077454472	0.00134754870236673	60.6666666666667	0.00134754870236673	3.90350732234237e-11	NA	NA	NA	0	0.25
9	Atf2	0.274871298370039	87.5805205471926	0.108002469896131	363	0.147179977759008	0.23891158338914	NA	NA	NA	0	0.25
10	Atf6	0.148665935672515	57.4836786090845	0.0633501385456705	204.666666666667	0.0633501385456705	1.5741358609558e-13	NA	NA	NA	0	0.25
11	Bach2	0.470577485380117	79.7741830156595	0.264383739678917	466.666666666667	0.264383739678917	1.91334171864344e-255	1	0	0	1	0.367644371345029
12	Bbx	0.298976608187135	85.8504802578064	0.131058266517476	383.666666666667	0.161423713359701	0.181258805861414	NA	NA	NA	0	0.25
13	Bclaf1	0.253509160756501	58.7178333422736	0.130353977757681	209	0.130353977757681	2.7117295040333e-21	NA	NA	NA	0	0.25
14	Bdp1	0.0488327423167849	15.8525723527664	0.05916414041753	10.6666666666667	0.05916414041753	1.4972577693161e-07	NA	NA	NA	0	0.25
15	Bhlhe40	0.046875	30.845440644441	0	71.6666666666667	0.00962794306715617	0.224047121660706	NA	NA	NA	0	0.25
16	Bptf	0.344230200945626	71.8059916602919	0.153379995859453	370.333333333333	0.153379995859453	3.29260794651664e-34	NA	NA	NA	0	0.25
17	Cbfb	0.108156028368794	32.5866221918704	0.0201385196278515	195.333333333333	0.0201385196278515	2.31248050308981e-06	NA	NA	NA	0	0.25
18	Cbx5	0.227467494089834	75.1196012478295	0.092483582853987	327.333333333333	0.147874473373701	0.376200319485012	NA	NA	NA	0	0.25
19	Ccdc6	0.215643274853801	85.6592766229939	0.0411968189472776	391.333333333333	0.0411968189472776	0.00898527346878033	NA	NA	NA	0	0.25
20	Ccnt2	0.0296616430260047	47.610860640513	0	105.333333333333	0.0541405239862905	0.627227393411498	NA	NA	NA	0	0.25
21	Cebpb	0.137426900584795	30.5438500520602	0.067073112620633	199.666666666667	0.067073112620633	3.86850330627983e-31	NA	NA	NA	0	0.25
22	Cebpd	0.326647458628842	60.7428856694101	0.205260146616297	255.333333333333	0.205260146616297	5.0143623369558e-08	0	0	1	1	0.33166186465721
23	Chd1	0.0329861111111111	29.1273482890464	0	72	0.0236988596791174	0.147069924901533	NA	NA	NA	0	0.25
24	Chd2	0.506639215503297	112.924393175914	0.258598304445717	1159.66666666667	0.290409722372774	0.0505768515287313	0	1	0	1	0.376659803875824
25	Clock	0.148160460992908	59.7291319906554	0.0623738549637477	225	0.0898788200390749	0.331198262373818	NA	NA	NA	0	0.25
26	Creb1	0.111443557919622	47.4829822747565	0.0477650579714053	98.6666666666667	0.0606008858094667	0.0875014910709403	NA	NA	NA	0	0.25
27	Creb3l1	0.354536052009456	112.632504599849	0.0717558541863426	864.333333333333	0.0717558541863426	1.80454518425254e-209	NA	NA	NA	0	0.25
28	Creb3l2	0.398455969267139	96.1328405910783	0.151398403187246	608.666666666667	0.151398403187246	3.22080288735798e-07	1	0	0	1	0.349613992316785
29	Crebbp	0.554657365932562	123.352389732856	0.219911557881723	1023	0.26260510994633	0.0491416807313843	0	0	1	1	0.38866434148314
30	Crebzf	0.0244902482269504	36.5633017739868	0.0254602246824977	31.3333333333333	0.0254602246824977	0.00928964390633862	NA	NA	NA	0	0.25
31	Crtc3	0.837256594500435	154.184444106571	0.449244763981838	2069	0.449244763981838	2.42965414115527e-152	1	1	1	3	0.877942445875327
32	Ctcf	0.0635342789598109	27.6417507211215	0.066336431803352	42.6666666666667	0.066336431803352	0.00363931150507019	NA	NA	NA	0	0.25
33	Cux1	0.156341374269006	53.912192809108	0.0750547810481531	152	0.0750547810481531	2.45368161685246e-19	NA	NA	NA	0	0.25
34	Cxxc1	0.0686317966903073	53.7199092086026	0.0130344730634355	169.333333333333	0.0191775450269033	0.0247875676687584	NA	NA	NA	0	0.25
35	Egr1	0.308547576832151	83.5781382781597	0.0842485327581598	521.666666666667	0.0842485327581598	0.00143867804920161	NA	NA	NA	0	0.25
36	Elf1	0.167811761229314	54.1738387082094	0.07445686065998	206.333333333333	0.07445686065998	0.0183411871931776	NA	NA	NA	0	0.25
37	Elf2	0.0659722222222222	34.2219683397404	0.0237011779545956	100.333333333333	0.0237011779545956	0.0152144282141209	NA	NA	NA	0	0.25
38	Elk3	0.472628546099291	204.014861199966	0.101748899158052	10057.3333333333	0.101748899158052	6.50939518876273e-58	0	0	1	1	0.368157136524823
39	Elk4	0.370050236406619	123.183824201325	0.062239892149734	1041.33333333333	0.062239892149734	0.00971816139471883	NA	NA	NA	0	0.25
40	Ep300	0.212765957446808	51.8818469037316	0.0421992900376177	659.666666666667	0.0421992900376177	0.00830177181785153	NA	NA	NA	0	0.25
41	Epas1	0.411088947990544	56.0783938124463	0.506955338118467	260	0.506955338118467	1.11217705064105e-245	1	0	0	1	0.352772236997636
42	Esr1	0.639429357969391	118.855069941231	0.69309285637779	1545.66666666667	0.69309285637779	5.89137790746187e-08	1	1	0	2	0.569714678984696
43	Ets1	0.651004728132388	159.695113557743	0.819484775954383	6276	0.819484775954383	0	1	0	1	2	0.575502364066194
44	Ets2	0.343971631205674	102.157807705721	0.0763620280653297	955	0.0763620280653297	0.00080889115180165	0	0	1	1	0.335992907801418
45	Etv1	0.617903913151673	197.749458535933	0.198511108459399	9459	0.198511108459399	1.16107223336555e-28	0	0	1	1	0.404475978287918
46	Etv6	0.466004883663058	85.5470011887821	0.384513323313795	341.333333333333	0.384513323313795	0.00456168449447587	NA	NA	NA	0	0.25
47	Ezh1	0.124113475177305	35.4738093213973	0.0269212892357567	240.666666666667	0.0269212892357567	0.000181742476735285	NA	NA	NA	0	0.25
48	Fli1	0.297872340425532	55.5903117054059	0.118115464316081	1341	0.118115464316081	0	0	0	1	1	0.324468085106383
49	Fos	0.159574468085106	31.4893661184818	0.072125854902714	140	0.072125854902714	1.16551559238736e-08	NA	NA	NA	0	0.25
50	Fosb	0.264184397163121	44.0387326121656	0.101575871578042	429.333333333333	0.101575871578042	0	0	0	1	1	0.31604609929078
51	Foxf1	0.892611904317531	348.805252459647	0.328027182767182	22395	0.328027182767182	0	1	1	1	3	0.919458928238148
52	Foxj3	0.191390210899589	80.8019572638781	0.063792120451883	326.333333333333	0.0893243096397926	0.333333424038032	NA	NA	NA	0	0.25
53	Foxk2	0.236933479532164	78.3662690614905	0.0499656188922682	605.333333333333	0.0499656188922682	3.5307711776597e-08	NA	NA	NA	0	0.25
54	Foxn2	0.00173611111111111	1.75396574745903	0.0045631605582097	10	0.0045631605582097	2.92771547151308e-05	NA	NA	NA	0	0.25
55	Foxn3	0.194296690307329	47.6019974992014	0.133319451383436	124	0.133319451383436	4.93635054157887e-05	NA	NA	NA	0	0.25
56	Foxo3	0.365222953216374	69.2599980602918	0.173772180111388	383	0.173772180111388	8.32441192962085e-60	NA	NA	NA	0	0.25
57	Foxp1	0.436393788105014	77.2340752137746	0.396287961298631	231.666666666667	0.396287961298631	2.11361677551694e-16	NA	NA	NA	0	0.25
58	Frem1	0.843448659325619	350.557019582576	0.267943750575303	23205.3333333333	0.267943750575303	0	1	1	1	3	0.882586494494214
59	Fubp1	0.126108156028369	19.847932831921	0.106199230726961	39	0.106199230726961	0.000824058947700343	NA	NA	NA	0	0.25
60	Gabpb2	0.150858918128655	58.400648223663	0.062377815292118	216.333333333333	0.062377815292118	0.000103869469744567	NA	NA	NA	0	0.25
61	Gata4	0.63670951536643	216.423540187716	0.511169182924198	9381	0.511169182924198	0	1	0	1	2	0.568354757683215
62	Gata6	0.826777715565509	283.995188897039	0.273278708966213	11181	0.273278708966213	2.36979888401469e-227	1	1	1	3	0.870083286674132
63	Gli3	0.91843582804529	255.134208104221	0.558632457308762	14015.3333333333	0.558632457308762	0	1	1	1	3	0.938826871033968
64	Glipr2	0.577281246111733	171.91172827563	0.121560399127079	3321.33333333333	0.121560399127079	1.04792869140508e-166	0	0	1	1	0.394320311527933
65	Glis3	0.912002690680602	175.899414539895	0.708714999712984	3925.33333333333	0.708714999712984	0	1	1	1	3	0.934002018010452
66	Gtf2i	0.322953605200946	75.0018565445365	0.122923838714644	378	0.122923838714644	0.00253424417085443	1	0	0	1	0.330738401300236
67	Hand2	0.969661798556675	397.18320397376	0.686322562011587	26673	0.686322562011587	0	1	1	1	3	0.977246348917507
68	Hdac1	0.287677304964539	99.8954049181469	0.0477773566926727	1052.33333333333	0.0477773566926727	0.00109944606017281	NA	NA	NA	0	0.25
69	Hdac2	0.127659574468085	36.0919819889552	0.0286416948824163	247.666666666667	0.0286416948824163	5.03127162604777e-07	NA	NA	NA	0	0.25
70	Herpud1	0.0260416666666667	25.8049583565216	0.0056931385944582	52.6666666666667	0.0056931385944582	0.0105508336521645	NA	NA	NA	0	0.25
71	Hes1	0.140070921985816	19.0425071564806	0.100721675456267	42.3333333333333	0.100721675456267	2.31052903379699e-208	NA	NA	NA	0	0.25
72	Heyl	0.837730963045913	228.246574696454	0.297733826445908	10116	0.297733826445908	0	1	1	1	3	0.878298222284434
73	Hic1	0.207446808510638	42.5703402510172	0.0561322902379267	377.666666666667	0.0561322902379267	0	NA	NA	NA	0	0.25
74	Hif1a	0	12.7293706549823	0	2.66666666666667	0.018509405627259	0.0314298423843475	NA	NA	NA	0	0.25
75	Hivep1	0.019828216374269	37.8589150046414	0.00962773593182037	77.3333333333333	0.00962773593182037	0.000479351091068809	NA	NA	NA	0	0.25
76	Hivep2	0.589525398158517	85.0238204650214	0.691877949944427	343.666666666667	0.691877949944427	3.38585828012737e-171	1	0	0	1	0.397381349539629
77	Hivep3	0.324763593380615	66.9065206122952	0.167698362199432	292.333333333333	0.167698362199432	2.85781442968959e-139	NA	NA	NA	0	0.25
78	Hltf	0.00531914893617021	20.9227365444659	0	46.3333333333333	0.0225477495501905	0.123992906988846	NA	NA	NA	0	0.25
79	Hlx	0.445589539007092	145.605490756585	0.146892054425986	8063.66666666667	0.146892054425986	8.2768129043457e-76	0	0	1	1	0.361397384751773
80	Hmg20b	0.0208333333333333	25.9931255744658	0	45.6666666666667	0.0027659643018224	0.22564497980536	NA	NA	NA	0	0.25
81	Hmgn3	0.585604081124798	156.719658832609	0.164869978875855	2547.33333333333	0.164869978875855	0	NA	NA	NA	0	0.25
82	Hoxb4	0.22550975177305	56.7594210811514	0.11661302992679	374.333333333333	0.11661302992679	3.86962448048473e-272	NA	NA	NA	0	0.25
83	Id3	0.25886524822695	36.1999509782854	0.139906690110765	203.333333333333	0.139906690110765	5.1121312814965e-36	0	0	1	1	0.314716312056738
84	Ikzf2	0.561226592634067	141.931827357295	0.157807184887474	1441	0.157807184887474	6.42611767719493e-07	NA	NA	NA	0	0.25
85	Irf1	0.230496453900709	45.6260600200968	0.0651302389711977	472.666666666667	0.0651302389711977	2.63605286255783e-75	NA	NA	NA	0	0.25
86	Irf2	0.03125	28.0326260163031	0.00359249757518343	51.3333333333333	0.00359249757518343	4.33181774039803e-05	NA	NA	NA	0	0.25
87	Irf2bp2	0.104609929078014	23.4864078869459	0.051233051467505	62.6666666666667	0.051233051467505	6.2440726739855e-25	NA	NA	NA	0	0.25
88	Irf7	0.132978723404255	47.5864509873598	0	446.666666666667	0.00791791787887677	0.0238272766134088	NA	NA	NA	0	0.25
89	Irf9	0.0904255319148936	34.6178539906799	0	261.333333333333	0.0129993099940186	0.105483073399128	NA	NA	NA	0	0.25
90	Jun	0.202127659574468	31.6828756027167	0.0985926264335083	141	0.0985926264335083	1.78487805075291e-22	NA	NA	NA	0	0.25
91	Junb	0.287234042553191	46.6601606174343	0.120732850557616	437.333333333333	0.120732850557616	1.40513130450332e-60	0	0	1	1	0.321808510638298
