	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	HSC2KC	LSEC2KC	Hep2KC	TotalSpec	Newinfluence
1	Spi1	0.995555555555556	484.058226900079	1.34852007717884	28955.6666666667	1.34852007717884	0	1	1	1	3	0.996666666666667
2	Pou2f2	0.959759997486885	217.780394562208	1.01163251154101	8227.66666666667	1.01163251154101	0	1	1	1	3	0.969819998115164
3	Spic	0.957153896899444	531.031089835794	0.473056929290461	30727.6666666667	0.473056929290461	0	1	1	1	3	0.967865422674583
4	Irf8	0.943806741431847	267.145113776371	0.759695659840025	11788.6666666667	0.759695659840025	0	1	1	1	3	0.957855056073886
5	Irf5	0.922613639933402	250.654399699961	0.532776560558328	14597.6666666667	0.532776560558328	0	1	1	1	3	0.941960229950052
6	Irf7	0.915693148619357	174.274658317058	1.1043298084278	3522.66666666667	1.1043298084278	0	1	1	1	3	0.936769861464518
7	Batf3	0.909266484465806	222.562572979864	0.483011098491222	6880.33333333333	0.483011098491222	0	1	1	1	3	0.931949863349354
8	Mafb	0.902024314390727	142.997071245728	1.83254964809101	2721	1.83254964809101	0	1	1	1	3	0.926518235793045
9	Ikzf1	0.900138221342632	221.61090133507	0.568888173292142	12614.6666666667	0.568888173292142	0	1	1	1	3	0.925103666006974
10	Elf4	0.894815443093645	381.979330671831	0.268494371336599	26450.6666666667	0.268494371336599	3.85337348990733e-224	1	1	1	3	0.921111582320234
11	Itgb2	0.880288379983036	164.264136823685	0.614367259816792	3906	0.614367259816792	0	1	1	1	3	0.910216284987277
12	Runx1	0.832963905381208	206.426423291571	0.263299138760927	10647.3333333333	0.263299138760927	1.03909096871702e-212	1	1	1	3	0.874722929035906
13	Nfam1	0.8182659504288	130.348012006792	0.887631181250951	1494.66666666667	0.887631181250951	0	1	1	1	3	0.8636994628216
14	Stat1	0.751435302987466	112.054980661642	0.647260687831609	814	0.647260687831609	5.8864429487616e-263	1	1	1	3	0.813576477240599
15	Nr1h3	0.822621179279364	154.811892369456	1.54467833588771	9185.33333333333	1.54467833588771	0	1	1	0	2	0.661310589639682
16	Irf2bp2	0.797640812992806	275.452672398062	0.43718237369511	14247.3333333333	0.445409249124549	0.039091917437716	1	0	1	2	0.648820406496403
17	Tgif1	0.79531618132127	176.490438342229	0.233017489048666	3007	0.233017489048666	5.92111689757807e-215	1	1	0	2	0.647658090660635
18	Tfe3	0.788464172399711	290.157719774274	0.260267117846485	15224.6666666667	0.260267117846485	9.34883550797737e-49	1	0	1	2	0.644232086199856
19	Cebpb	0.763629566801747	91.7669780666177	1.05448223875262	1638	1.05448223875262	0	1	1	0	2	0.631814783400873
20	Nfkbid	0.747559450884302	256.562571240718	0.120554496488366	11101.6666666667	0.120554496488366	9.2572410698881e-107	1	0	1	2	0.623779725442151
21	Etv5	0.739940313511136	187.166132219014	0.192272034073358	6866.33333333333	0.192272034073358	4.06267982942577e-128	1	0	1	2	0.619970156755568
22	Klf6	0.735454402663902	133.231605394019	0.598780140530458	2263	0.598780140530458	0	1	0	1	2	0.617727201331951
23	Zbtb7b	0.716908239876857	169.099377140005	0.120798796967267	3897.33333333333	0.120798796967267	4.32556564271923e-52	1	1	0	2	0.608454119938429
24	Scand1	0.698465114817956	105.807112203857	0.687446639375961	813.333333333333	0.687446639375961	0	1	0	1	2	0.599232557408978
25	Maf	0.659519994973769	164.909603250906	1.09138568319797	6449.33333333333	1.09138568319797	0	1	0	1	2	0.579759997486885
26	Max	0.656133572079289	120.319300312855	0.239681361443014	1105	0.239681361443014	3.81095232893127e-129	1	0	1	2	0.578066786039644
27	Nfkbiz	0.633355323092388	176.704762397895	0.1388288921517	3510.33333333333	0.1388288921517	2.19919119175882e-07	1	0	1	2	0.566677661546194
28	Tfec	0.626708133069456	333.905852928002	0.251955107979477	18205.3333333333	0.251955107979477	0	1	0	1	2	0.563354066534728
29	Nfkbia	0.622215939433921	131.84016048694	0.481868668101856	2362.33333333333	0.481868668101856	0	1	0	1	2	0.56110796971696
30	Usf1	0.612772908616844	134.187354437076	0.160672556700545	1507	0.160672556700545	1.87586006826187e-69	1	0	1	2	0.556386454308422
31	Mef2a	0.602943486319228	152.321427150026	0.327509306249628	4189	0.327509306249628	1.18657874963348e-110	1	0	1	2	0.551471743159614
32	Junb	0.582964219520623	117.426438488327	0.462551817567635	1957.66666666667	0.462551817567635	9.6595907796877e-185	1	0	1	2	0.541482109760312
33	Sp110	0.578445009895391	117.385174637424	0.261688570479626	1181	0.261688570479626	8.8743232590919e-22	1	0	1	2	0.539222504947696
34	Cebpa	0.56373197625106	90.8248836792628	0.269578165345337	2346.33333333333	0.269578165345337	0	1	1	0	2	0.53186598812553
35	Id1	0.550796343417209	112.628649186383	0.236349500610206	1443	0.236349500610206	3.15008220511149e-239	1	0	1	2	0.525398171708604
36	Zeb2	0.515720164609053	72.1852226647776	0.794733575266201	624.666666666667	0.794733575266201	0	0	1	1	2	0.507860082304527
37	Fos	0.512738353281186	90.3705469894655	0.321825742104734	789.333333333333	0.321825742104734	1.24012196270336e-126	1	0	1	2	0.506369176640593
38	Id3	0.485502465994408	72.1393609056531	0.571985309331061	392.666666666667	0.571985309331061	9.8994913673402e-147	1	0	1	2	0.492751232997204
39	Prdm1	0.658122074576697	137.630485972891	0.12961841683341	1845.33333333333	0.12961841683341	1.67239772566412e-113	1	0	0	1	0.414530518644174
40	Id2	0.648992554895863	99.3595614433202	0.635289486155361	648	0.635289486155361	0	1	0	0	1	0.412248138723966
41	Jdp2	0.643562969245751	185.478313818223	0.0998395103136821	5721	0.0998395103136821	1.36742818466075e-44	0	0	1	1	0.410890742311438
42	Zfp281	0.604275437439135	112.433944642361	0.173452276575406	1580.33333333333	0.173452276575406	5.99529650881013e-52	0	1	0	1	0.401068859359784
