	factor	influence_score	target_score	G_score	direct_targets	factor_fc	padj	KC2LSEC	HSC2LSEC	Hep2LSEC	TotalSpec	Newinfluence
1	Elk3	0.993650793650794	390.668850540867	1.58818264771444	19787.6666666667	1.58818264771444	0	1	1	1	3	0.995238095238095
2	Sox18	0.99292751144603	475.578834306889	1.12188264533479	27596.3333333333	1.12188264533479	0	1	1	1	3	0.994695633584523
3	Id4	0.976037268629861	320.1384127201	0.797429671601981	14870.6666666667	0.797429671601981	0	1	1	1	3	0.982027951472396
4	Mef2c	0.97395115172893	307.239862249943	0.968672310952573	11643.3333333333	0.968672310952573	0	1	1	1	3	0.980463363796697
5	Sox7	0.959872089501719	460.845275006866	0.458205875909614	28152	0.458205875909614	0	1	1	1	3	0.969904067126289
6	Ets2	0.955838811394367	190.174589451516	1.44778253757228	2467.33333333333	1.44778253757228	0	1	1	1	3	0.966879108545775
7	Klf4	0.94999376480858	220.386457402872	0.771905125829727	6584	0.771905125829727	0	1	1	1	3	0.962495323606435
8	Sox17	0.947097073022999	435.078378104433	0.423714931043635	25340.3333333333	0.423714931043635	0	1	1	1	3	0.960322804767249
9	Ets1	0.937300696559956	233.120102071863	1.65459946116249	7667.33333333333	1.65459946116249	0	1	1	1	3	0.952975522419967
10	Lmo2	0.923437193807564	253.739068474819	0.47164252568045	6176.66666666667	0.47164252568045	0	1	1	1	3	0.942577895355673
11	Hdac1	0.912675253415994	197.966899682605	0.642866778041772	8676	0.642866778041772	0	1	1	1	3	0.934506440061996
12	Smad6	0.899919833253167	263.980781489773	0.557380669268313	10278	0.557380669268313	1.79905965904709e-193	1	1	1	3	0.924939874939875
13	Tbx2	0.893271337715782	305.734875487176	0.341074956052289	18111	0.341074956052289	1.21144624073557e-104	1	1	1	3	0.919953503286837
14	Id3	0.890232127269164	125.537094797791	1.13693291482458	797	1.13693291482458	0	1	1	1	3	0.917674095451873
15	Id1	0.890166212388435	184.929267414124	0.497741267808121	3801	0.497741267808121	0	1	1	1	3	0.917624659291326
16	Mecom	0.884889458963533	203.011671563146	0.339384801911325	5411.33333333333	0.339384801911325	2.06554997419105e-288	1	1	1	3	0.91366709422265
17	Arhgef12	0.873275969572266	134.023178278673	0.699296048439782	1698	0.699296048439782	5.2328434151315e-101	1	1	1	3	0.904956977179199
18	Rarg	0.87154793080719	152.624683661463	0.537691321481373	2345	0.537691321481373	0	1	1	1	3	0.903660948105393
19	Gata2	0.86676464824613	234.04497997183	0.265707725592703	11040.3333333333	0.265707725592703	2.2991556175168e-276	1	1	1	3	0.900073486184597
20	Smad7	0.866515240589315	220.113106462564	0.56760682609049	7951	0.56760682609049	3.92532769252067e-236	1	1	1	3	0.899886430441986
21	Nfe2l2	0.848577485614523	185.529440643014	0.32625280842237	4131.66666666667	0.32625280842237	0	1	1	1	3	0.886433114210892
22	Nr2f2	0.83228582117471	126.075467602768	1.42035614507085	1744.66666666667	1.42035614507085	3.0438771494634e-302	1	1	1	3	0.874214365881033
23	Egr1	0.825006680562236	116.765781428465	0.642530726868454	686.333333333333	0.642530726868454	4.19310374673983e-156	1	1	1	3	0.868755010421677
24	Elk4	0.824634350560277	179.966603595498	0.269037588725781	1589.33333333333	0.269037588725781	1.50861615408726e-126	1	1	1	3	0.868475762920207
25	Mlxip	0.82355477170292	157.959888284519	0.267334534293016	1713.66666666667	0.267334534293016	6.80028438185523e-170	1	1	1	3	0.86766607877719
26	Atf7	0.820683020683021	166.805881243223	0.318227561827815	2949	0.318227561827815	4.86049681992313e-289	1	1	1	3	0.865512265512266
27	Etv3	0.819229330340442	279.454633271436	0.209250277038186	10898	0.209250277038186	3.37216143910677e-177	1	1	1	3	0.864421997755331
28	Rela	0.81353214686548	231.683315792753	0.21131153442706	6183	0.21131153442706	2.62784014988304e-115	1	1	1	3	0.86014911014911
29	Vezf1	0.792157910676429	120.963295833362	0.441100936031567	700.333333333333	0.441100936031567	7.00627173937453e-138	1	1	1	3	0.844118433007322
30	Twist1	0.789257655924323	192.703939134827	0.187673745095417	5080.33333333333	0.187673745095417	5.6213000696573e-143	1	1	1	3	0.841943241943242
31	Hoxb5	0.758744410596263	118.701995549353	0.338821220463153	878	0.338821220463153	0	1	1	1	3	0.819058307947197
32	Elf2	0.747998503554059	174.262013399519	0.209178728319098	2603.33333333333	0.209178728319098	1.89513025032741e-118	1	1	1	3	0.810998877665544
33	Nfkb1	0.744900504159763	129.248246643158	0.289603938752479	863.666666666667	0.289603938752479	4.43587979095063e-111	1	1	1	3	0.808675378119823
34	Gata4	0.851787718454385	255.177529377752	0.669589367996872	10525	0.669589367996872	1.45836474863916e-44	1	0	1	2	0.675893859227193
35	Bcl6b	0.835403416884898	293.921362086032	0.350876357194139	15979	0.350876357194139	0	0	1	1	2	0.667701708442449
36	Tal1	0.823022108207293	187.699528302122	0.256685077944875	5530.33333333333	0.256685077944875	8.36829078804433e-266	1	1	0	2	0.661511054103647
37	Meis2	0.793755901163309	98.7042281470219	1.65072297370945	638.666666666667	1.65072297370945	0	1	0	1	2	0.646877950581654
38	Sp100	0.785277822314859	203.865998180186	0.591756489691071	7296.66666666667	0.591756489691071	1.4117967102158e-101	1	0	1	2	0.64263891115743
39	Jun	0.780710099228618	99.2205739629531	1.0634833788513	764	1.0634833788513	0	0	1	1	2	0.640355049614309
40	Hivep3	0.772607913348654	133.029878061297	0.327201466926682	1589.33333333333	0.327201466926682	1.13172399653039e-103	1	0	1	2	0.636303956674327
41	Hmg20b	0.767968930931894	116.658433731212	0.377708571440478	982.666666666667	0.377708571440478	0	1	1	0	2	0.633984465465947
42	Ybx3	0.764206438280512	103.921174707416	0.490410124314374	775.666666666667	0.490410124314374	0	1	1	0	2	0.632103219140256
